"label","url"
http://www.statsbiblioteket.dk/doms/shard/uuid:7f6f3f21-fef1-4a0c-82aa-a383b00fc38a,http://bitfinder.statsbiblioteket.dk/bart/mux1.1287824400-2010-10-23-11.00.00_1287828000-2010-10-23-12.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:39d9cd81-2940-4862-b94a-79ad9a0c8eb3,http://bitfinder.statsbiblioteket.dk/bart/mux1.1287910800-2010-10-24-11.00.00_1287914400-2010-10-24-12.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:a8067f96-aa1c-40c8-aee5-d1f31b47b650,http://bitfinder.statsbiblioteket.dk/bart/drp1_88.100_DR-P1_pcm_20101019045601_20101020045502_encoder5-2.wav
http://www.statsbiblioteket.dk/doms/shard/uuid:d5955db4-9e17-4a86-98fa-7b5eea7f7219,http://bitfinder.statsbiblioteket.dk/bart/mux1.1287590400-2010-10-20-18.00.00_1287594000-2010-10-20-19.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:ef955ea3-cacc-4207-a718-7a581a798191,http://bitfinder.statsbiblioteket.dk/bart/drp1_88.100_DR-P1_pcm_20080510045601_20080511045502_encoder5-2.wav
http://www.statsbiblioteket.dk/doms/shard/uuid:2f5ef717-9af6-4db5-a21d-f60b53f59d05,http://bitfinder.statsbiblioteket.dk/bart/mux2.1287640800-2010-10-21-08.00.00_1287644400-2010-10-21-09.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:2f5ef717-9af6-4db5-a21d-f60b53f59d05,http://bitfinder.statsbiblioteket.dk/bart/mux2.1287637200-2010-10-21-07.00.00_1287640800-2010-10-21-08.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:7584902d-3427-4c78-997b-00726c221bad,http://bitfinder.statsbiblioteket.dk/bart/drp1_88.100_DR-P1_pcm_20080506045601_20080507045502_encoder5-2.wav
http://www.statsbiblioteket.dk/doms/shard/uuid:aa779ad3-06c5-45b7-9ba9-2bdc230efaad,http://bitfinder.statsbiblioteket.dk/bart/mux1.1287370800-2010-10-18-05.00.00_1287374400-2010-10-18-06.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:2bd26dee-9471-4f4b-9c32-d88e36eae44b,http://bitfinder.statsbiblioteket.dk/bart/tv2d_511.250_K10-TV2-Danmark_mpeg2_20080509045601_20080510045502_encoder1-2.mpeg
